incidentid,race,injury,gender,schoolaffiliation,age
19860224LABOS,unknown,None,Male,Student,Adolescent
19860306ILTHD,unknown,Wounded,Female,Teacher,Adult
19860423FLCHM,unknown,Wounded,Male,Student,Adolescent
19860429MOSES,unknown,Fatal,Female,Student,Teen
19860509NCPIF,unknown,Wounded,Male,Student,Teen
19860509NCPIF,unknown,Wounded,Male,Student,Teen
19860509NCPIF,unknown,Wounded,Male,Student,Teen
19860515GACAA,unknown,Wounded,Female,Student,School Age Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860516WYCOC,unknown,Wounded,unknown,Student,Child
19860517TNMAN,unknown,Wounded,Male,Teacher,Adult
19860912CAFAL,unknown,Fatal,Male,Former Student,Young Adult
19860918CABEB,unknown,Fatal,Female,Student,Adolescent
19861003CAMOM,unknown,Wounded,Male,Student,Adolescent
19861003CAMOM,unknown,Wounded,Female,Student,Adolescent
19861008TXSOD,unknown,Fatal,Male,Student,Adolescent
19861204MTFEL,unknown,Fatal,Female,Teacher,Adult
19861204MTFEL,unknown,Wounded,Male,Teacher,Adult
19861204MTFEL,unknown,Minor Injuries,Female,Student,Teen
19861204MTFEL,unknown,Minor Injuries,Female,Student,Teen
19870114CALOL,unknown,None,Male,Student,Young Adult
19870123MIRED,unknown,Wounded,Male,Student,Adolescent
19870210ARDAD,unknown,None,Male,Student,Adolescent
19870213AZORM,unknown,Wounded,Male,Teacher,Adult
19870213AZORM,unknown,Wounded,Male,Teacher,Adult
19870213AZORM,unknown,Fatal,Male,Student,Adolescent
19870213AZORM,unknown,Minor Injuries,Female,Teacher,Adult
19870224NYMON,unknown,Wounded,Female,Parent,Adult
19870302MODED,unknown,Fatal,Male,Student,Adolescent
19870306TXRIE,unknown,Wounded,Female,Student,Adolescent
19870330CAPAS,unknown,None,Female,No Relation,Adult
19870416MIMUD,unknown,Fatal,Male,Student,Adolescent
19870416MIMUD,unknown,Wounded,Male,Student,Adolescent
19870416MIMUD,unknown,Minor Injuries,Female,Student,Young Adult
19870430ORGRP,unknown,Fatal,Male,Student,Adolescent
19870503INPII,unknown,Wounded,Male,Teacher,Adult
19870506ARMAJ,unknown,None,Male,Student,Adolescent
19870506FLLET,unknown,None,Male,Student,Adolescent
19870513ILOAO,unknown,None,Male,Student,Adolescent
19870928ILILL,unknown,Wounded,Male,Teacher,Adult
19871014ILDUC,Black,Fatal,Male,Student,Adolescent
19871030NCSOK,unknown,Wounded,Male,Student,Adolescent
19871030NCSOK,unknown,Wounded,Male,Student,Adolescent
19871104MISOD,unknown,Wounded,Male,Student,Adolescent
19871114FLCLC,unknown,None,Male,Student,Young Adult
19871130TXPES,unknown,Fatal,Female,Teacher,Adult
19871202FLENJ,unknown,None,unknown,unknown,unknown
19871204NYEAN,unknown,Wounded,Female,Teacher,Young Adult
19871215NYGRB,unknown,Wounded,Male,Student,Adolescent
19871216TXMAK,unknown,None,Male,Student,Adolescent
19880105PASPS,unknown,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adolescent
19880106FLGAT,White,None,Female,Student,Adolescent
19880108PACRM,unknown,Wounded,Male,Student,Adolescent
19880120LASIR,unknown,Fatal,Female,Student,Adolescent
19880129TXREA,Black,Fatal,Female,Student,Adolescent
19880202ALWET,unknown,None,unknown,unknown,unknown
19880211FLPIL,unknown,Wounded,Female,Teacher,Adult
19880211FLPIL,unknown,Fatal,Male,Other Staff,Adult
19880211FLPIL,unknown,Wounded,Male,Other Staff,Young Adult
19880226RIBRB,unknown,Wounded,Male,Student,Adolescent
19880304MILED,unknown,Wounded,unknown,Student,School Age Child
19880323CACAS,unknown,None,unknown,unknown,unknown
19880324TXTRA,unknown,None,unknown,unknown,unknown
19880505ILMAC,unknown,Wounded,Male,Student,Young Adult
19880516FLFOF,unknown,Wounded,Male,Student,Adolescent
19880520ILHUW,unknown,Fatal,Male,Student,School Age Child
19880520ILHUW,unknown,Wounded,Male,No Relation,Young Adult
19880520ILHUW,unknown,Wounded,Female,Student,Child
19880520ILHUW,unknown,Wounded,Female,Student,Child
19880520ILHUW,unknown,Wounded,Male,Student,Child
19880520ILHUW,unknown,Wounded,Male,Student,Child
19880520ILHUW,unknown,Wounded,Male,Student,Child
19880531NYPUB,unknown,Wounded,Female,Teacher,Adult
19880602MSWIJ,unknown,Wounded,Male,Student,Young Adult
19880602MSWIJ,unknown,Wounded,Male,Student,Adolescent
19880617MIJOD,unknown,Wounded,Male,Student,Adolescent
19880630HIAIO,White,Wounded,Female,Teacher,Adult
19880710WISIM,unknown,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult
19880711MSLAJ,Black,Wounded,Male,Student,Adolescent
19880831MICED,unknown,Wounded,Male,Student,Adolescent
19880831SCWEA,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19880902GAGLA,unknown,Wounded,Male,Other Staff,Adult
19880902GAGLA,unknown,Wounded,Male,Other Staff,Adult
19880902NCGAC,unknown,Wounded,Male,Other Staff,Adult
19880902NCGAC,unknown,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Young Adult
19880902NCGAC,unknown,Wounded,Male,Student,Young Adult
19880902NCGAC,unknown,Wounded,Female,Unknown,unknown
19880903TXLID,unknown,Wounded,Male,Student,Adolescent
19880903TXLID,unknown,Wounded,Female,Student,Adolescent
19880922ILMOC,unknown,Fatal,Male,Other Staff,Adult
19880922ILMOC,unknown,Fatal,Male,No Relation,Adult
19880922ILMOC,Hispanic,Wounded,Male,Police Officer/SRO,Adult
19880922ILMOC,unknown,Fatal,Female,Police Officer/SRO,Adult
19880922ILMOC,unknown,Fatal,Male,No Relation,Adult
19880922ILMOC,unknown,Wounded,Male,No Relation,Adult
19880926SCOAG,unknown,Wounded,Female,Teacher,Adult
19880926SCOAG,unknown,Wounded,Male,Student,School Age Child
19880926SCOAG,unknown,Wounded,Female,Teacher,Adult
19880926SCOAG,Black,Wounded,Female,Student,School Age Child
19880926SCOAG,unknown,Wounded,Female,Student,School Age Child
19880926SCOAG,White,Wounded,Female,Student,School Age Child
19880926SCOAG,Black,Fatal,Female,Student,School Age Child
19880926SCOAG,Black,Fatal,Female,Student,School Age Child
19880926SCOAG,unknown,Wounded,unknown,Student,School Age Child
19880926SCOAG,unknown,Wounded,unknown,Student,School Age Child
19880926SCOAG,unknown,Wounded,unknown,Student,School Age Child
19881003FLMAM,unknown,Wounded,Female,Student,Teen
19881004FLJEJ,unknown,Wounded,Female,Student,Teen
19881004FLJEJ,unknown,Wounded,Female,Student,Teen
19881004FLJEJ,unknown,Wounded,Female,Student,Teen
19881004FLJEJ,unknown,Wounded,Female,Student,Teen
19881004FLJEJ,unknown,Wounded,Female,Student,Teen
19881004LAISB,unknown,None,unknown,Other Staff,Adult
19881005MDEDB,unknown,Wounded,Female,Student,Adolescent
19881006ALMOM,unknown,Wounded,Female,Teacher,Adult
19881007MDSOB,unknown,Wounded,Male,Student,Adolescent
19881007TXDIP,unknown,Wounded,Female,Bus Driver,Adult
19881101FLPAJ,unknown,None,Male,Student,Young Adult
19881107UTGLS,unknown,Wounded,Male,Student,Teen
19881122TXABA,unknown,Wounded,Male,Teacher,Adult
19881216VAATV,unknown,Fatal,Female,Teacher,Adult
19881216VAATV,unknown,Wounded,Male,Teacher,Adult
19890105ARHEL,unknown,Fatal,Male,Student,Adolescent
19890117CACLS,unknown,Wounded,Female,Teacher,Adult
19890117CACLS,Asian,Fatal,Female,Student,School Age Child
19890117CACLS,Asian,Wounded,Male,Student,School Age Child
19890117CACLS,Asian,Fatal,Female,Student,School Age Child
19890117CACLS,Asian,Fatal,Male,Student,School Age Child
19890117CACLS,White,Wounded,Male,Student,School Age Child
19890117CACLS,Asian,Wounded,Female,Student,School Age Child
19890117CACLS,Asian,Fatal,Female,Student,School Age Child
19890117CACLS,Asian,Fatal,Female,Student,School Age Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890117CACLS,unknown,Wounded,unknown,Student,Child
19890126DCWOW,unknown,Wounded,Male,Student,Teen
19890126DCWOW,unknown,Wounded,Male,Student,Teen
19890126DCWOW,unknown,Wounded,Male,Student,Teen
19890126DCWOW,unknown,Wounded,Male,Student,Teen
19890210UTTHK,unknown,None,Male,Principal/Vice-Principal,Adult
19890303INWIG,Black,Fatal,Male,Student,Adolescent
19890426TXAMD,unknown,Wounded,Male,Student,Adolescent
19890911AZDYE,White,Fatal,Male,Student,Adolescent
19890918KYJAM,unknown,None,unknown,unknown,unknown
19891005CALOA,unknown,Wounded,Male,Student,Adolescent
19891031TXOLD,unknown,Wounded,Male,Student,Adolescent
19891113NYALN,unknown,Fatal,Male,Student,Adolescent
19891115TXWOA,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19891122CACHO,Hispanic,Fatal,Male,Gang Member,Young Adult
19891204LACAS,unknown,Wounded,Male,Student,Teen
19891205PASEM,unknown,Wounded,Male,Student,Teen
19891205TXWWD,unknown,Wounded,Male,Teacher,Adult
19891212SCCHC,unknown,Wounded,Male,Student,Adolescent
19900116RICEP,unknown,Wounded,Male,Student,Teen
19900116RICEP,unknown,Wounded,Female,Student,Teen
19900220OHTAC,unknown,Fatal,Male,Former Student,Young Adult
19900327NYNEB,unknown,Wounded,Male,Student,Teen
19900403TXSKD,unknown,Wounded,Male,Student,Adolescent
19900504CAMOE,White,Fatal,Male,Student,Adolescent
19900504CAMOE,Black,Wounded,Male,Student,Adolescent
19900520TNHIC,unknown,Fatal,Male,Principal/Vice-Principal,Adult
19900531TXSUF,unknown,Wounded,Male,Student,Teen
19900531TXSUF,unknown,Wounded,Male,Student,Teen
19900824NCMYC,unknown,Fatal,Male,Student,Teen
19900827NVELL,unknown,Fatal,Male,Student,Teen
19900827TXWHD,unknown,None,unknown,Student,Teen
19900911TXSAS,unknown,Wounded,Male,Student,Teen
19900911TXSAS,unknown,Wounded,Male,Student,Teen
19900911TXSAS,unknown,Wounded,Male,Student,Teen
19900922ALLEB,unknown,Wounded,Male,No Relation,Adolescent
19900922ALLEB,unknown,Wounded,Male,No Relation,Young Adult
19901002TXWHD,Hispanic,Wounded,Female,Student,Teen
19901029INCHC,unknown,None,unknown,unknown,unknown
19901030TXNAG,unknown,Wounded,Male,Principal/Vice-Principal,Adult
19901213LASAS,unknown,None,unknown,unknown,unknown
19910108TXRIR,White,None,Male,Student,Adolescent
19910117TXHOD,unknown,Wounded,Female,Student,Adolescent
19910219LABON,Black,Fatal,Male,Student,Adolescent
19910219LABON,Black,Wounded,Female,Student,Young Adult
19910313ALSES,unknown,Wounded,Male,Student,Young Adult
19910313ALSES,unknown,Wounded,Male,Student,Adolescent
19910314SCWOP,unknown,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Young Adult
19910314SCWOP,unknown,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,Young Adult
19910314SCWOP,unknown,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Young Adult
19910314SCWOP,unknown,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,School Age Child
19910325NCGAC,unknown,Fatal,Male,Former Student,Young Adult
19910411SCNOR,unknown,None,Female,Student,Teen
19910423CARAC,unknown,Fatal,Male,Student,School Age Child
19910423MSHUB,unknown,Wounded,Male,Student,Adolescent
19910510OHFRC,unknown,Fatal,Male,Student,Young Adult
19910516KSCOK,unknown,Wounded,Male,Student,Adolescent
19910516KSCOK,unknown,Wounded,Female,Student,Adolescent
19910521CAROS,unknown,Fatal,Male,Student,Teen
19910521FLSCP,unknown,Wounded,Male,Student,Teen
19910521FLSCP,unknown,Wounded,Male,Student,Teen
19910521FLSCP,unknown,Fatal,Female,Student,Adolescent
19910722CAWEL,unknown,Wounded,Male,Student,Teen
19910730CAENC,unknown,Wounded,Male,Student,Teen
19910913TXMAH,unknown,Fatal,Male,Student,Teen
19910917ILWOC,unknown,Wounded,Male,Student,Teen
19910918TXCRC,unknown,Fatal,Male,Student,Adolescent
19911002TXSPH,unknown,Wounded,Male,Student,Teen
19911004CADOL,unknown,Wounded,Male,Student,Teen
19911004CADOL,unknown,Wounded,Male,Student,Teen
19911004CAROL,unknown,None,unknown,unknown,unknown
19911009NYJAB,Black,Fatal,Male,Student,Teen
19911011MAMAR,Black,Wounded,Male,Nonstudent,Adolescent
19911015NHMOS,unknown,Wounded,unknown,Student,Teen
19911015NHMOS,unknown,Wounded,unknown,Student,Teen
19911015SCWOW,unknown,None,unknown,unknown,unknown
19911015TXGEP,unknown,Wounded,Male,Student,Teen
19911023TXOAD,unknown,Fatal,Male,Student,Teen
19911106LAWAN,unknown,Fatal,Male,Student,Teen
19911106LAWAN,unknown,Wounded,Male,Student,Teen
19911111TXYSE,unknown,Fatal,Male,Student,Adolescent
19911111TXYSE,unknown,Wounded,Male,Student,Young Adult
19911114TXMIH,unknown,Wounded,Male,Student,Young Adult
19911125NYTHB,unknown,Fatal,Male,Student,Adolescent
19911125NYTHB,unknown,Wounded,Male,Teacher,Adult
19911226NCWHW,unknown,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult
19911226NCWHW,unknown,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult
19920128LAFRG,unknown,Wounded,Male,Student,Adolescent
19920131LAFRG,unknown,Wounded,Male,Student,Adolescent
19920206OKDOO,unknown,Fatal,Male,Student,Teen
19920207VABON,unknown,Fatal,Male,Student,Young Adult
19920207VABON,unknown,Wounded,Male,Student,Young Adult
19920226NYTHB,unknown,Fatal,Male,Student,Adolescent
19920226NYTHB,unknown,Fatal,Male,Student,Adolescent
19920305OHHAO,unknown,Wounded,Male,Student,Teen
19920331LAOPA,unknown,Fatal,Male,Student,Teen
19920409FLFOF,unknown,Wounded,Male,Student,Young Adult
19920417TXLID,unknown,Fatal,Male,Former Student,Adult
19920501CALIO,unknown,Fatal,Male,Teacher,Adult
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Teacher,Adult
19920501CALIO,unknown,Fatal,Male,Student,Adolescent
19920501CALIO,unknown,Fatal,Male,Student,Adolescent
19920501CALIO,unknown,Fatal,Male,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920501CALIO,unknown,Wounded,unknown,Student,Teen
19920514CASIN,unknown,Wounded,Male,Student,Teen
19920514CASIN,unknown,Wounded,Male,Student,Teen
19920514TXHUH,unknown,Wounded,Male,Student,Teen
19920529CAVEL,unknown,Wounded,Male,Student,Teen
19920529CAVEL,unknown,Wounded,Male,Student,Teen
19920529CAVEL,unknown,Wounded,Male,Student,Teen
19920606CAMEM,unknown,Wounded,Male,Former Student,Young Adult
19920911TXPAA,unknown,Wounded,Male,Student,Teen
19920911TXPAA,unknown,Wounded,Male,Student,Teen
19920911TXPAA,unknown,Wounded,Male,Student,Teen
19920911TXPAA,unknown,Wounded,Male,Student,Teen
19920911TXPAA,unknown,Wounded,Male,Student,Teen
19920911TXPAA,unknown,Wounded,Male,Student,Teen
19920911TXPAA,unknown,Wounded,Male,Student,Teen
19920928CAHIS,unknown,Wounded,Male,Student,Adolescent
19920928CAHIS,unknown,Wounded,Male,Student,Young Adult
19920930TXHOH,unknown,Fatal,Male,Gang Member,unknown
19920930TXHOH,unknown,Wounded,Male,Gang Member,unknown
19921013AZDET,unknown,Fatal,Male,Student,Adolescent
19921019NYEVB,unknown,Wounded,Female,Student,Adolescent
19921019NYEVB,unknown,Wounded,Female,Student,Adolescent
19921019NYEVB,unknown,Wounded,Male,Student,Adolescent
19921104MIFID,unknown,Minor Injuries,unknown,Student,Teen
19921104MIFID,unknown,Minor Injuries,unknown,Student,Teen
19921104MIFID,unknown,Minor Injuries,unknown,Student,Teen
19921104MIFID,unknown,Minor Injuries,unknown,Student,Teen
19921104MIFID,unknown,Minor Injuries,unknown,Student,Teen
19921104MIFID,unknown,Minor Injuries,unknown,Student,Teen
19921104MIFID,unknown,Minor Injuries,unknown,Student,Teen
19921104MIMAD,unknown,Wounded,Male,Student,Adolescent
19921104MIMUD,unknown,Wounded,Male,No Relation,Teen
19921104MIMUD,unknown,Wounded,Male,No Relation,Teen
19921104MIMUD,unknown,Wounded,Male,No Relation,Teen
19921110ILSHC,unknown,None,Male,Student,Adolescent
19921113TXLAC,unknown,Fatal,Female,Teacher,Adult
19921116ALFAB,unknown,Fatal,Male,Student,Adolescent
19921120ILTIC,unknown,Fatal,Male,Student,Adolescent
19921120ILTIC,unknown,Wounded,Male,Student,Adolescent
19921120ILTIC,unknown,Wounded,Male,Student,Adolescent
19921124ALROM,unknown,Wounded,Female,Student,Young Adult
19921130ILORC,unknown,Wounded,Male,Student,Adolescent
19921203ILWOC,unknown,Fatal,Male,No Relation,Young Adult
19921203ILWOC,unknown,Wounded,Male,No Relation,Adult
19921214NYWAW,unknown,Wounded,Female,Teacher,Adult
19930105NYBRB,unknown,Wounded,Male,Former Student,Young Adult
19930112FLNOM,Black,Fatal,Male,Student,Young Adult
19930118KYEAG,unknown,Fatal,Male,Teacher,Adult
19930118KYEAG,unknown,Fatal,Female,Teacher,Adult
19930121CAFAL,unknown,Fatal,Male,Student,Adolescent
19930121CAFAL,unknown,Wounded,Male,Student,Adolescent
19930201NYAMA,unknown,Fatal,Male,Nonstudent,Adolescent
19930201NYAMA,unknown,Wounded,Male,Nonstudent,Adolescent
19930201WARER,unknown,None,Male,Student,Adolescent
19930204GACLA,unknown,Fatal,Male,Student,Teen
19930208DCWAW,unknown,Fatal,Male,Student,Young Adult
19930208MNMIM,unknown,None,Male,Student,Adolescent
19930222CAREL,unknown,Fatal,Male,Student,Adolescent
19930226MAGLG,unknown,None,Male,Student,Adolescent
19930308VADOD,White,Fatal,Female,Teacher,Adult
19930318GAHAH,unknown,Wounded,Male,Student,Adolescent
19930318GAHAH,unknown,Fatal,Male,Student,Adolescent
19930325MOSUS,unknown,Fatal,Male,Student,Adolescent
19930403CAGRS,unknown,Fatal,Male,Student,Adolescent
19930403CAGRS,unknown,Wounded,Male,Student,Young Adult
19930415MAFOA,unknown,Fatal,Female,Other Staff,Adult
19930416CAGRS,unknown,Fatal,Male,Other Staff,Adult
19930416WAMOT,unknown,None,Female,No Relation,Adult
19930514TXNII,unknown,Fatal,Male,Student,Adolescent
19930524PAUPP,unknown,Fatal,Male,Student,Adolescent
19930527LAFRN,Black,Fatal,Male,Former Student,Adolescent
19930707CADOL,unknown,Fatal,Male,Student,Adolescent
19930803NYTHN,unknown,Wounded,Male,Student,Young Adult
19930831GAHAA,Black,Fatal,Male,Student,Adolescent
19930901KSJUJ,unknown,Wounded,Female,Student,Adolescent
19930902TXROD,Black,Fatal,Male,Student,Adolescent
19930916ILROC,unknown,Fatal,unknown,unknown,Teen
19930917ILDOD,unknown,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,Teen
19930917WYCES,unknown,Minor Injuries,Male,Student,Teen
19930917WYCES,unknown,Minor Injuries,Male,Student,Teen
19930917WYCES,unknown,Minor Injuries,Male,Student,Teen
19930917WYCES,unknown,Minor Injuries,Female,Student,Teen
19930925DCWEW,unknown,Fatal,Male,No Relation,Young Adult
19930925DCWEW,unknown,Fatal,Female,No Relation,Preschooler
19930928MSCOG,unknown,Fatal,Male,Student,Teen
19931012DEDON,unknown,None,Female,Student,Adolescent
19931018DCJHW,unknown,Wounded,Male,Student,Adolescent
19931101ILSUC,unknown,Fatal,Male,Student,Adolescent
19931104CTNEN,unknown,Fatal,Male,Student,Young Adult
19931104FLTEJ,unknown,Fatal,Male,Student,Adolescent
19931104MSBAB,unknown,Fatal,Male,Student,Adolescent
19931111ILRIS,unknown,Fatal,Male,No Relation,Adolescent
19931201WIWAW,unknown,Fatal,Male,Teacher,Adult
19931202CTNEN,White,Fatal,Male,Student,Young Adult
19931208GABES,unknown,Fatal,Male,Student,Adolescent
19931215CACHS,unknown,Fatal,Male,Student,Adolescent
19931217MICHC,unknown,Fatal,Male,Other Staff,Adult
19931217MICHC,unknown,Wounded,Male,Teacher,Adult
19931217MICHC,unknown,Wounded,Male,Teacher,Adult
19940120CALOH,unknown,Fatal,Male,Student,Adolescent
19940121TXKEK,unknown,None,Male,Student,Adolescent
19940124SCEAC,unknown,Fatal,Male,Student,Adolescent
19940126DCELW,unknown,None,unknown,unknown,unknown
19940126DCPAW,unknown,None,unknown,unknown,unknown
19940127CAWAS,Hispanic,Fatal,Male,Parent,Young Adult
19940131WAWHS,unknown,Fatal,Male,Teacher,Adult
19940208MIOSD,unknown,Fatal,Male,Student,Young Adult
19940218SCSPS,unknown,Wounded,Male,No Relation,Young Adult
19940301MOKEB,unknown,Fatal,Male,Other Staff,Adult
19940301MOKEB,unknown,Fatal,Male,Other Staff,Adult
19940303ALENB,unknown,Wounded,Male,Student,Adolescent
19940309DCEAW,unknown,Fatal,Male,Student,Adolescent
19940315SCGOC,unknown,Fatal,Male,Student,Young Adult
19940323WABAS,unknown,Fatal,Male,Student,Adolescent
19940323WABAS,unknown,Wounded,Female,Student,Teen
19940325GAETC,unknown,None,Male,Student,Adolescent
19940405TXMCA,unknown,Wounded,Female,Student,Young Adult
19940405TXMCA,unknown,Wounded,Female,Student,Adolescent
19940408MDLAU,unknown,Wounded,Male,Teacher,Adult
19940412MTMAB,White,Fatal,Male,Student,School Age Child
19940413CA49L,unknown,None,Male,Student,School Age Child
19940419DCELW,unknown,Fatal,Male,No Relation,Young Adult
19940420INDIS,Black,Wounded,Male,Student,Adolescent
19940421TNJTN,Black,Fatal,Male,Student,Adolescent
19940502FLNON,unknown,Fatal,Female,Student,Young Adult
19940525INLAS,unknown,Wounded,Male,Student,Adolescent
19940525NJLAW,unknown,None,Female,Student,Adolescent
19940526KYLAU,unknown,None,unknown,unknown,unknown
19940724PAMAM,unknown,Fatal,Male,No Relation,Young Adult
19940725IAOTO,unknown,Fatal,Male,Student,Adolescent
19940907CAHOL,unknown,Fatal,Male,Student,Adolescent
19940908NYSWA,unknown,Wounded,Male,Student,Adolescent
19940919CALOL,unknown,Wounded,Female,Student,Adolescent
19940919CALOL,unknown,Wounded,Male,Student,Adolescent
19940919CALOL,unknown,Wounded,Male,Student,Adolescent
19940922ORLEL,unknown,Wounded,Male,Student,Adolescent
